parent_symbol,child_symbol,beta,PIP,LFSR
BCL11B,ARID5A,0.0197612247079631,0.0,0.0
BPTF,ARID5A,-0.00235740354495616,0.0,0.046
CBFB,ARID5A,-0.10445681665669,1.0,0.0
CLOCK,ARID5A,-0.00355904279047629,0.0,0.324
DR1,ARID5A,-0.00444870966616257,0.0,0.0
EGR3,ARID5A,0.000478101696995768,0.0,0.312
ELK4,ARID5A,-0.00854151337427291,0.0,0.0
EPAS1,ARID5A,-0.0100780703880585,0.0,0.0
ETS1,ARID5A,-0.0141572412162475,0.0,0.0
FOXK1,ARID5A,-0.0247438983172253,0.0,0.0
FOXP1,ARID5A,0.00964050127699647,0.0,0.0
FOXP3,ARID5A,0.00681837392788512,0.0,0.0
GATA3,ARID5A,-0.00841994677410368,0.0,0.0
GFI1,ARID5A,-0.00112319397132228,0.0,0.3185
HIVEP2,ARID5A,0.0141513620490586,0.0,0.0
HIVEP3,ARID5A,-0.00953186967040249,0.0,0.0
IKZF1,ARID5A,0.00816994397028086,0.0,0.0
IL2RA,ARID5A,-0.0138863688122278,0.0,0.0
IRF1,ARID5A,-0.00211557189876444,0.0,0.3235
IRF2,ARID5A,0.00807521414604093,0.0,0.0
IRF3,ARID5A,-0.00748875476747979,0.0,0.0
IRF4,ARID5A,-0.0257714304322288,0.0,0.0
IRF7,ARID5A,-0.00594603983032136,0.0,0.0
IRF8,ARID5A,-0.0111528713402551,0.0,0.0
IRF9,ARID5A,0.000418495987366546,0.0,0.315
JAK3,ARID5A,-0.0017384076232358,0.0,0.312
KLF2,ARID5A,-0.0217825212857131,0.0,0.0
KLF9,ARID5A,-0.0046630716615233,0.0,0.315
KMT2A,ARID5A,0.030774692273924,0.0,0.0
LCOR,ARID5A,-0.00675617868463143,0.0,0.0
MBD2,ARID5A,0.00658119870460464,0.0,0.0
MED12,ARID5A,-0.0445897956683693,0.0,0.0
MYB,ARID5A,0.0128205753276807,0.0,0.0
MYSM1,ARID5A,-0.00647952646626914,0.0,0.0
NFAT5,ARID5A,-0.0066913308748143,0.0,0.0005
NFE2L2,ARID5A,-0.00688112423762522,0.0,0.0
NFE2L3,ARID5A,-0.00012692604430111,0.0,0.3615
NFKB1,ARID5A,0.00741604564296707,0.0,0.0
NFKB2,ARID5A,-0.068453651415671,1.0,0.0
POU2F1,ARID5A,-0.00400809980980633,0.0,0.0
PTEN,ARID5A,0.0307751468563838,0.0,0.0
RBCK1,ARID5A,-0.00793523354407135,0.0,0.0
REL,ARID5A,-0.000369233266000305,0.0,0.358
RELA,ARID5A,0.018455872782667,0.0,0.0
RELB,ARID5A,0.0172328726140459,0.0,0.0
RFX5,ARID5A,-0.00613534313728783,0.0,0.0
RORC,ARID5A,-0.00213302165839279,0.0,0.361
